timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732356037336,610,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2686,928,10,10,null,0,2,0
1732356037337,610,PurchaseFlight,200,OK,Thread Group 1-3,text,true,,2686,928,10,10,https://blazedemo.com/purchase.php,610,0,0
1732356037333,618,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2555,928,10,10,null,0,5,0
1732356037338,618,PurchaseFlight,200,OK,Thread Group 1-4,text,true,,2555,928,10,10,https://blazedemo.com/purchase.php,609,0,0
1732356037956,554,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2339,1062,10,10,null,0,2,0
1732356037957,554,EnterDetails,200,OK,Thread Group 1-4,text,true,,2339,1062,10,10,https://blazedemo.com/confirmation.php,552,0,0
1732356038513,1,Debug Sampler,200,OK,Thread Group 1-4,text,true,,587,0,10,10,null,0,0,0
1732356037948,592,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2405,1062,10,10,null,0,1,0
1732356037948,592,EnterDetails,200,OK,Thread Group 1-3,text,true,,2405,1062,10,10,https://blazedemo.com/confirmation.php,588,0,0
1732356038541,1,Debug Sampler,200,OK,Thread Group 1-3,text,true,,587,0,10,10,null,0,0,0
1732356037923,629,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2439,1062,10,10,null,0,2,0
1732356037923,629,EnterDetails,200,OK,Thread Group 1-2,text,true,,2439,1062,10,10,https://blazedemo.com/confirmation.php,626,0,0
1732356038554,1,Debug Sampler,200,OK,Thread Group 1-2,text,true,,589,0,10,10,null,0,0,0
1732356037762,423,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2270,689,10,10,null,0,5006,0
1732356042767,423,Homepage,200,OK,Thread Group 1-6,text,true,,2270,689,10,10,https://blazedemo.com/,421,0,0
1732356037763,417,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2256,689,10,10,null,0,5016,0
1732356042779,417,Homepage,200,OK,Thread Group 1-10,text,true,,2256,689,10,10,https://blazedemo.com/,412,0,0
